doc_name,fp_prediction
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'weak muscle tone', 'produces')"
Empty-Sella-Syndrome,"('primary empty sella syndrome', 'elevated intracranial pressure', 'produces')"
Cystic-Fibrosis,"('cf.', 'newborn screening', 'produces')"
Dup15q-Syndrome,"('dup15q', 'asd', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'defective enzyme', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'close related heart defects', 'is_a')"
Turner-Syndrome,"('turner syndrome', '""it""', 'anaphora')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'physical abnormalities', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'mental retardation', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome and abnormal enlargement of glands in the head', 'neck', 'produces')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'saddle-shaped depression', 'produces')"
Enterobiasis,"('enterobiasis', 'contagious, parasitic disorder', 'is_a')"
Laband-Syndrome,"('laband syndrome', 'long, thin toes', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'obstruction of veins of the liver', 'produces')"
Ewing-Sarcoma,"('eft', 'ewing sarcoma of bone', 'is_acron')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'pituitary gland in the floor of the sella', 'produces')"
Leukodystrophy,"('leukodystrophies', '""each type of leukodystrophy""', 'anaphora')"
Epidermolytic-Ichthyosis,"('infants with ei', 'gradual decrease in blistering', 'produces')"
Lichen-Sclerosus,"('""the condition""', 'squamous cell carcinoma', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('ovotesticular dsd', '""the disorder""', 'anaphora')"
Fibrous-Dysplasia,"('""the disorder""', '""the disorder""', 'is_a')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', '""this condition""', 'anaphora')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'moderately short stature', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'abnormal functioning of the immune system', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('pcnsl', '""this tumor""', 'anaphora')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'delayed closure of the soft spot on the head', 'produces')"
Alkaptonuria,"('alkaptonuria', 'hgd gene', 'produces')"
Arteriovenous-Malformation,"('""it""', 'veins', 'produces')"
Floating-Harbor-Syndrome,"('fhs', 'floating-harbor syndrome', 'is_acron')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'blood is thick', 'produces')"
Laband-Syndrome,"('laband syndrome', 'mental retardation', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'mucolipids', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'increased arsenic levels in drinking water', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', '""the disease""', 'produces')"
Leukodystrophy,"('""each type of leukodystrophy""', 'abnormal development or destruction of the myelin sheath', 'produces')"
Laband-Syndrome,"('""this disorder""', 'long, thin fingers', 'produces')"
Alagille-Syndrome,"('""the disorder""', 'posterior embryotoxon', 'produces')"
Kienbock-Disease,"('kienbock disease', '""it""', 'anaphora')"
Arteriovenous-Malformation,"('""they""', 'brain lesions', 'is_a')"
Subacute-Sclerosing-Panencephalitis,"('subacute sclerosing panencephalitis', 'progressive neurological disorder', 'is_a')"
Banti_s-Syndrome,"('""it""', 'vascular obstruction', 'produces')"
West-Syndrome,"('west syndrome', 'intellectual disabilities', 'produces')"
Glucose,"('""it""', 'inherited metabolic disorder', 'is_a')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'growth retardation', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'thoracic region is deformed', 'produces')"
Jejunal-Atresia,"('""the disorder""', 'abnormal ingestions', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'chronic condition', 'is_a')"
Alpers-Disease,"('alpers disease', 'lack of coordination', 'produces')"
Binder-Type-Nasomaxillary-Dysplasia,"('binder type nasomaxillary dysplasia', '""it""', 'anaphora')"
Schindler-disease,"('schindler disease', '""type i""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', '""the drug succinylcholine""', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', 'hypotonia', 'produces')"
Arthritis-Infectious,"('tuberculosis', 'infectious arthritis', 'increases_risk_of')"
