doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
Baller,"{'is_acron', 'produces', 'is_a'}","{'produces', 'is_a', 'anaphora'}",,"{('""it""', 'distinctive malformations of the skull, facial (craniofacial) area and bones of the forearms and hands', 'produces'), ('baller-gerold syndrome', '""it""', 'anaphora')}","{('bgs', 'distinctive misshaped appearance of the skull', 'produces'), ('bgs', 'distinctive misshaped appearance of the bones of the forearms and hands', 'produces'), ('bgs', 'distinctive misshaped appearance of the facial (craniofacial) area', 'produces'), ('bgs', 'baller-gerold syndrome', 'is_acron')}"
Carnosinemia,"{'produces', 'is_a', 'anaphora'}","{'produces', 'is_a', 'anaphora'}",,"{('carnosinemia', 'delayed intellectual development', 'produces'), ('""this condition""', 'myoclonus', 'produces'), ('carnosinemia', 'motor delays', 'produces'), ('""this condition""', 'eeg normal', 'produces'), ('""this condition""', 'carnosinemia', 'produces'), ('carnosinemia', 'myoclonus', 'produces'), ('""this condition""', 'seizures', 'produces'), ('""this condition""', 'anserine in the serum', 'produces'), ('""this condition""', 'carnosinemia in the urine', 'produces'), ('""this condition""', 'low activity of carnosinase', 'produces'), ('carnosinemia', 'intellectual disabilities', 'produces'), ('carnosinemia', 'muscle weakness', 'produces'), ('carnosinemia', 'involuntary jerking muscle movements of the arms', 'produces')}","{('developmental delays', '""this disorder""', 'produces'), ('developmental delays', 'very low activity of the enzyme carnosinase in the blood', 'produces'), ('carnosinemia', '""this condition""', 'anaphora'), ('developmental delays', 'delayed intellectual development', 'produces'), ('carnosinemia', 'myoclonic seizures', 'produces'), ('developmental delays', 'intellectual deficit', 'produces'), ('developmental delays', 'seizures', 'produces'), ('developmental delays', 'myoclonic seizures.', 'produces'), ('carnosinemia', 'intellectual disability', 'produces'), ('carnosinemia', 'drowsiness', 'produces'), ('developmental delays', 'developmental regression', 'produces'), ('developmental delays', 'congenital myopathy', 'produces'), ('carnosinemia', 'very low activity of the enzyme carnosinase in the blood', 'produces'), ('carnosinemia', 'abnormally high levels of carnosine and anserine in the serum and urine', 'produces'), ('developmental delays', 'intellectual disabilities', 'produces')}"
Meningitis-Tuberculous,"{'is_acron', 'produces', 'is_a', 'increases_risk_of', 'anaphora'}","{'produces', 'anaphora'}",,"{('tuberculous meningitis', '""the disorder""', 'anaphora'), ('tuberculous meningitis', 'meningitis', 'produces')}","{('tb', 'tuberculosis', 'is_acron'), ('miliary tuberculosis', 'tuberculous meningitis', 'increases_risk_of'), ('tbm', '""the infection""', 'anaphora'), ('""this form of meningitis""', 'meningitis', 'is_a'), ('tbm', 'tuberculous meningitis', 'is_acron'), ('tbm', '""the disorder""', 'anaphora'), ('tbm', '""it""', 'anaphora'), ('tuberculous meningitis', 'meningitis', 'is_a')}"
Fibrous-Dysplasia,{'anaphora'},{'anaphora'},,"{('fibrous dysplasia', '""the monostotic form""', 'anaphora')}",set()
Trisomy-9p-(Multiple-Variants),"{'is_a', 'is_synon'}","{'is_a', 'anaphora'}",,"{('trisomy 9p', '""the disorder""', 'anaphora')}","{(""edwards's syndrome"", 'trisomy 18', 'is_synon'), ('patau syndrome', 'trisomy 13', 'is_synon'), ('down syndrome', 'trisomy 21', 'is_synon')}"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"{'is_acron', 'produces', 'is_a'}","{'is_acron', 'produces', 'anaphora'}",,"{('c3 glomerulopathy', 'c3 glomerulonephritis', 'is_acron'), ('complement-mediated renal diseases', '""these diseases""', 'anaphora'), ('c3g', 'kidney deposits lighter in color and more widespread in location', 'produces'), ('c3g', 'deposits are more often heavy in color and more widespread in location', 'produces'), ('complement-mediated renal diseases', 'renal diseases', 'produces')}","{('dense deposit disease', ""dense 'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('dense deposit disease', 'abundance of a protein called c3 in the renal glomeruli', 'produces'), ('c3g', 'kidney deposits', 'produces'), ('c3g', 'c3 glomerulopathy', 'is_acron'), ('ddd', 'abundance of c3 in the renal glomeruli', 'produces'), ('c3gn', 'c3 glomerulonephritis', 'is_acron'), ('dense deposit disease', 'kidney disease', 'is_a')}"
Classic-Infantile-CLN1-Disease,set(),set(),,set(),set()
Buerger_s-Disease,"{'produces', 'is_synon', 'anaphora'}","{'produces', 'is_a', 'anaphora'}",,"{(""buerger's disease"", 'tissue death', 'produces'), (""buerger's disease"", 'clotting of certain veins', 'produces'), (""buerger's disease"", 'claudication', 'produces'), (""buerger's disease"", 'thrombosis', 'produces'), (""buerger's disease"", 'occlusion of the veins and arteries of the extremities', 'produces'), (""buerger's disease"", 'peripheral vascular disease', 'produces'), (""buerger's disease"", 'inflammation', 'produces'), (""buerger's disease"", 'cramping in the legs', 'produces'), (""buerger's disease"", 'pain of the lower arms and legs', 'produces'), (""buerger's disease"", 'vascular disorder', 'is_a'), (""buerger's disease"", 'ulceration', 'produces')}","{('""it""', 'narrowing or blockage (occlusion) of the veins and arteries of the extremities', 'produces'), ('""it""', 'claudication', 'produces'), ('""it""', 'peripheral vascular disease', 'produces'), ('""it""', 'extreme pain of the lower arms while at rest', 'produces'), ('""it""', 'cramping in the legs when they walk', 'produces'), (""buerger's disease"", 'ulcers on the extremities', 'produces'), ('thromboangiitis obliterans', ""buerger's disease"", 'is_synon'), ('""it""', 'extreme pain of the legs', 'produces')}"
Mikulicz-Syndrome,"{'is_acron', 'produces', 'increases_risk_of', 'anaphora'}","{'produces', 'is_a', 'is_synon', 'increases_risk_of', 'anaphora'}",,"{('sjogren syndrome', 'lupus', 'is_synon'), ('tuberculosis', '""the disorder""', 'increases_risk_of'), ('mikulicz syndrome produces lymphomas. mikulicz syndrome', 'xerostomia', 'produces'), ('""the disorder""', 'salivary glands', 'produces'), (""hodgkin's disease"", '""the disorder""', 'increases_risk_of'), ('mikulicz syndrome', 'tooth loss', 'produces'), ('mikulicz syndrome', 'glands in the mouth', 'produces'), ('sjogren syndrome', '""the disorder""', 'increases_risk_of'), ('syphilis', '""the disorder""', 'increases_risk_of'), ('""the disorder""', 'parotids', 'produces'), ('""the disorder""', 'enlargement of glands in the head and neck', 'produces'), ('""the disorder""', 'lacrimal glands', 'produces'), ('mikulicz syndrome', 'soft, painless swellings (salivary glands) of the mouth', 'produces'), ('mikulicz syndrome', 'chronic condition', 'is_a'), ('mikulicz syndrome', 'enlarged glands in the neck', 'produces'), ('mikulicz syndrome', 'parotid glands', 'produces'), ('leukemia', '""the disorder""', 'increases_risk_of')}","{('mikulicz syndrome', 'xerostomia', 'produces'), ('mikulicz syndrome', 'enlarged lacrimal glands', 'produces'), ('mikulicz syndrome', 'glands submaxillary swollen', 'produces'), ('sle', 'lupus', 'is_acron'), ('mikulicz syndrome', 'leading to absent or decreased tears', 'produces'), ('mikulicz syndrome', 'enlargement of glands in the parotids', 'produces'), ('mikulicz syndrome', 'lymphomas', 'increases_risk_of'), ('mikulicz syndrome', 'tooth decay', 'produces'), ('mikulicz syndrome', 'enlargement of glands lacrimal', 'produces'), ('mikulicz syndrome', 'tumefactions of the salivary glands', 'produces'), ('mikulicz syndrome', 'enlargement of glands salivary', 'produces'), ('mikulicz syndrome', 'enlarged parotid glands', 'produces'), ('mikulicz syndrome', 'enlargement of glands in the head and neck', 'produces')}"
Hartnup-Disease,{'anaphora'},{'anaphora'},,"{('slc6a19 hartnup disease', '""the disorder""', 'anaphora')}","{('hartnup disease', '""the disorder""', 'anaphora')}"
