doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
Chromosome-6-Partial-Trisomy-6q,"{'is_a', 'produces'}","{'is_a', 'anaphora', 'produces'}",,,
,,,anaphora,"{('chromosome 6, partial trisomy 6q', '""the chromosomal disorder""', 'anaphora')}",
,,,is_a,,set()
,,,produces,,set()
Mixed-Cryoglobulinemia,"{'anaphora', 'produces', 'increases_risk_of', 'is_acron'}","{'anaphora', 'increases_risk_of'}",,,
,,,anaphora,,"{('cryoglobulinemia', '""the disorder""', 'anaphora')}"
,,,produces,,"{('hepatitis c', 'hepatitis', 'produces')}"
,,,increases_risk_of,,"{('hepatitis c', 'mixed cryoglobulinemia', 'increases_risk_of')}"
,,,is_acron,,"{('hcv', 'hepatitis c', 'is_acron')}"
Tinnitus,"{'is_a', 'anaphora', 'produces'}","{'is_a', 'anaphora', 'produces'}",,,
,,,is_a,,"{('rhythmic tinnitus', 'tinnitus', 'is_a'), ('non-rhythmic tinnitus', 'tinnitus', 'is_a')}"
,,,anaphora,,set()
,,,produces,,"{('non-rhythmic tinnitus', 'tinnitus', 'produces'), ('rhythmic tinnitus', 'tinnitus', 'produces')}"
Leukoencephalopathy-with-Brain-Stem-and-Spinal-Cord-Involvement-and-Lactate-Elevation,{'anaphora'},{'anaphora'},,,
,,,anaphora,,set()
Arteriovenous-Malformation,"{'produces', 'is_acron'}","{'is_a', 'anaphora', 'produces', 'is_acron'}",,,
,,,is_a,"{('arteriovenous malformation', 'vascular lesion', 'is_a'), ('avm', 'cerebrovascular disorders', 'is_a')}",
,,,anaphora,"{('avm', '""it""', 'anaphora'), ('avm', '""this condition""', 'anaphora'), ('avm', '""the lesion""', 'anaphora')}",
,,,produces,,"{('avm', 'low resistance of the direct a-v connections', 'produces'), ('avm', 'fistulas', 'produces'), ('avm', 'stroke', 'produces'), ('avm', 'high flow rates in the vessels', 'produces'), ('avms', 'lack of capillaries', 'produces'), ('avm', 'direct a-v connections', 'produces'), ('arteriovenous malformation', 'avm', 'produces'), ('avm', 'high flow rates', 'produces'), ('avm', 'lower the pressure in the arteries', 'produces'), ('arteriovenous malformation', 'lesion', 'produces'), ('avms', 'blood traveling through the abnormal fistulous connections to flow rapidly', 'produces')}"
,,,is_acron,,set()
Spinocerebellar-Ataxia-with-Axonal-Neuropathy,{'anaphora'},{'anaphora'},,,
,,,anaphora,,set()
Pseudo-Hurler-Polydystrophy,"{'is_a', 'anaphora', 'produces', 'is_synon'}","{'is_a', 'anaphora', 'produces'}",,,
,,,is_a,,set()
,,,anaphora,,set()
