doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
Chromosome-6-Partial-Trisomy-6q,"{'produces', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,"{('chromosome 6, partial trisomy 6q', '""the chromosomal disorder""', 'anaphora')}",
,,,produces,set(),set()
,,,is_a,set(),set()
Mixed-Cryoglobulinemia,"{'anaphora', 'is_acron', 'increases_risk_of', 'produces'}","{'anaphora', 'increases_risk_of'}",,,
,,,anaphora,"{('mixed cryoglobulinemia', '""the disorder""', 'anaphora')}","{('cryoglobulinemia', '""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('hcv', 'hepatitis c', 'is_acron')}"
,,,increases_risk_of,"{('hepatitis c virus', '""the disorder""', 'increases_risk_of')}","{('hepatitis c', 'mixed cryoglobulinemia', 'increases_risk_of')}"
,,,produces,set(),"{('hepatitis c', 'hepatitis', 'produces')}"
Tinnitus,"{'anaphora', 'produces', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,set(),set()
,,,produces,"{('""it""', 'tinnitus', 'produces')}","{('non-rhythmic tinnitus', 'tinnitus', 'produces'), ('rhythmic tinnitus', 'tinnitus', 'produces')}"
,,,is_a,"{('""it""', 'tinnitus', 'is_a')}","{('rhythmic tinnitus', 'tinnitus', 'is_a'), ('non-rhythmic tinnitus', 'tinnitus', 'is_a')}"
Leukoencephalopathy-with-Brain-Stem-and-Spinal-Cord-Involvement-and-Lactate-Elevation,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
Arteriovenous-Malformation,"{'is_acron', 'produces'}","{'anaphora', 'is_acron', 'produces', 'is_a'}",,,
,,,anaphora,"{('avm', '""it""', 'anaphora'), ('avm', '""this condition""', 'anaphora'), ('avm', '""the lesion""', 'anaphora')}",
,,,is_a,"{('avm', 'cerebrovascular disorders', 'is_a'), ('arteriovenous malformation', 'vascular lesion', 'is_a')}",
,,,is_acron,set(),set()
,,,produces,"{('""the lesion""', 'age at detection', 'produces'), ('""the lesion""', 'low flow rates in the arteries', 'produces'), ('""the lesion""', 'brain', 'produces'), ('""the lesion""', 'vascular lesions', 'produces'), ('""the lesion""', 'pressure in the arteries', 'produces')}","{('arteriovenous malformation', 'avm', 'produces'), ('avm', 'stroke', 'produces'), ('avm', 'fistulas', 'produces'), ('avms', 'blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('avms', 'lack of capillaries', 'produces'), ('avm', 'low resistance of the direct a-v connections', 'produces'), ('avm', 'lower the pressure in the arteries', 'produces'), ('avm', 'high flow rates in the vessels', 'produces'), ('avm', 'high flow rates', 'produces'), ('arteriovenous malformation', 'lesion', 'produces'), ('avm', 'direct a-v connections', 'produces')}"
Spinocerebellar-Ataxia-with-Axonal-Neuropathy,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
Pseudo-Hurler-Polydystrophy,"{'anaphora', 'produces', 'is_a', 'is_synon'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,set(),set()
,,,produces,"{('""this disorder""', 'decreased enzyme levels in fibroblasts', 'produces'), ('""this disorder""', 'elevated lysosomal enzyme activity in serum', 'produces'), ('""this disorder""', 'decreased lysosomal enzyme levels in white blood cells', 'produces'), ('pseudo-hurler polydystrophy', 'skeletal deformities of the hands', 'produces'), ('pseudo-hurler polydystrophy', 'scoliosis', 'produces'), ('pseudo-hurler polydystrophy', 'accumulation of mucopolysaccharides', 'produces'), ('pseudo-hurler polydystrophy', 'defective enzyme', 'produces'), ('pseudo-hurler polydystrophy', 'mucolipids', 'produces'), ('pseudo-hurler polydystrophy', 'claw-hands', 'produces'), ('pseudo-hurler polydystrophy', 'progressive joint stiffness', 'produces')}","{('pseudo-hurler polydystrophy', 'accumulation of mucopolysaccharides and mucolipids', 'produces'), ('""this disorder""', 'skeletal deformities of the hands', 'produces'), ('""this disorder""', 'progressive joint stiffness', 'produces'), ('pseudo-hurler polydystrophy', 'defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('""this disorder""', 'claw-hands', 'produces'), ('pseudo-hurler polydystrophy', 'growth delays', 'produces'), ('pseudo-hurler polydystrophy', 'clouding of the corneas of the eyes', 'produces'), ('pseudo-hurler polydystrophy', 'decreased enzyme levels in fibroblasts', 'produces'), ('""this disorder""', 'scoliosis', 'produces'), ('pseudo-hurler polydystrophy', 'mild mental retardation', 'produces'), ('pseudo-hurler polydystrophy', 'elevated lysosomal enzyme activity in serum', 'produces'), ('pseudo-hurler polydystrophy', 'decreased enzyme levels in white blood cells', 'produces'), ('pseudo-hurler polydystrophy', 'mild to moderate coarseness of facial features', 'produces'), ('pseudo-hurler polydystrophy', 'easy fatigability', 'produces'), ('pseudo-hurler polydystrophy', 'deterioration of the hip joints', 'produces')}"
,,,is_a,set(),set()
,,,is_synon,set(),"{('mucolipidosis type iii', 'pseudo-hurler polydystrophy', 'is_synon'), ('mucolipidosis type ii', 'i-cell disease', 'is_synon')}"
Gitelman-Syndrome,"{'anaphora', 'produces'}","{'anaphora', 'produces'}",,,
,,,anaphora,"{('gitelman syndrome', '""these disorders""', 'anaphora')}",set()
,,,produces,"{('gitelman syndrome', 'salt wasting', 'produces')}","{('gitelman syndrome', 'lower blood pressures', 'produces')}"
Tarsal-Tunnel-Syndrome,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"{'produces', 'is_a', 'is_acron'}","{'anaphora', 'is_acron', 'produces'}",,,
,,,anaphora,"{('complement-mediated renal diseases', '""these diseases""', 'anaphora')}",
,,,produces,"{('c3g', 'deposits are more often heavy in color and more widespread in location', 'produces'), ('complement-mediated renal diseases', 'renal diseases', 'produces'), ('c3g', 'kidney deposits lighter in color and more widespread in location', 'produces')}","{('dense deposit disease', 'abundance of a protein called c3 in the renal glomeruli', 'produces'), ('ddd', 'abundance of c3 in the renal glomeruli', 'produces'), ('c3g', 'kidney deposits', 'produces'), ('dense deposit disease', ""dense 'sausage-like' deposits in the glomerular basement membrane"", 'produces')}"
,,,is_a,set(),"{('dense deposit disease', 'kidney disease', 'is_a')}"
,,,is_acron,"{('c3 glomerulopathy', 'c3 glomerulonephritis', 'is_acron')}","{('c3gn', 'c3 glomerulonephritis', 'is_acron'), ('c3g', 'c3 glomerulopathy', 'is_acron')}"
Trichothiodystrophy,{'produces'},"{'anaphora', 'produces'}",,,
,,,anaphora,"{('ttd', '""the disorder""', 'anaphora'), ('ttd', '""it""', 'anaphora')}",
,,,produces,"{('ttd', 'abnormalities of short stature', 'produces'), ('ttd', 'abnormalities of hair shafts', 'produces'), ('ttd', 'abnormalities of chin', 'produces'), ('ttd', 'bone and teeth abnormalities', 'produces')}","{('ttd', 'small chin', 'produces'), ('ttd', 'short stature', 'produces'), ('ttd', 'hair shaft abnormalities', 'produces'), ('ttd', ""reduced sulfur content in patient's hair"", 'produces'), ('ttd', 'hair shafts tiger-tail pattern', 'produces'), ('ttd', 'hair abnormalities', 'produces'), ('ttd', 'abnormal patterns of myelination', 'produces'), ('ttd', 'bone and teeth anomalies', 'produces')}"
Alpers-Disease,"{'anaphora', 'produces', 'increases_risk_of', 'is_a'}","{'anaphora', 'produces', 'is_a'}",,,
,,,anaphora,set(),set()
,,,produces,"{('""it""', 'muscle weakness', 'produces'), ('alpers disease', 'cirrhosis', 'produces'), ('alpers disease', 'loss of cognitive ability', 'produces'), ('alpers disease', 'muscle twitching', 'produces')}","{('""it""', 'muscle twitching', 'produces'), ('alpers disease', 'liver cirrhotic', 'produces'), ('alpers disease', 'blind', 'produces'), ('alpers disease', 'loss of intellectual functions', 'produces'), ('""it""', 'lack of coordination of motor movement', 'produces'), ('alpers disease', 'mental retardation', 'produces'), ('""it""', 'partial paralysis', 'produces'), ('alpers disease', 'jaundice', 'produces')}"
,,,increases_risk_of,set(),"{('alpers disease', 'serious liver disease', 'increases_risk_of')}"
,,,is_a,"{('alpers disease', 'progressive neurologic disorder', 'is_a')}","{('alpers disease', 'mental retardation', 'is_a')}"
Autosomal-Dominant-Hereditary-Ataxia,"{'anaphora', 'produces'}","{'anaphora', 'is_a'}",,,
,,,is_a,"{('hereditary ataxia', 'ataxias', 'is_a')}",
,,,anaphora,set(),set()
,,,produces,set(),"{('hereditary ataxia', 'ataxia', 'produces'), ('hereditary ataxia', 'ataxias', 'produces')}"
Glutathione-Synthetase-Deficiency,set(),set(),,,
Epidermolytic-Ichthyosis,"{'increases_risk_of', 'is_synon', 'produces', 'is_a', 'anaphora'}","{'anaphora', 'produces', 'is_a'}",,,
,,,increases_risk_of,set(),"{('ei', 'skin infections', 'increases_risk_of')}"
,,,is_synon,set(),"{('curth-macklin', 'ichthyosis hystrix', 'is_synon')}"
,,,produces,"{('ei', 'gradual decrease in blistering', 'produces'), ('ei', 'ichthyosis hystrix', 'produces'), ('ei', 'increase in the severity of the scaling', 'produces'), ('ei', 'skin infections', 'produces')}","{('ei', 'scaling', 'produces'), ('palmoplantar keratoderma', 'limit hand function', 'produces'), ('ei', 'blistering', 'produces'), ('ichthyosis hystrix', 'brown-grey hyperkeratotic spines', 'produces'), ('palmoplantar keratoderma', 'limit ambulation', 'produces'), ('ei', 'scales', 'produces'), ('ei', 'generalized erythroderma', 'produces')}"
,,,is_a,"{('ei', 'ichthyosis hystrix', 'is_a')}","{('ichthyosis hystrix', 'ei', 'is_a')}"
,,,anaphora,set(),set()
Banti_s-Syndrome,"{'anaphora', 'produces'}","{'increases_risk_of', 'produces'}",,,
,,,increases_risk_of,"{('congenital abnormalities of the spleen', 'banti syndrome', 'increases_risk_of'), ('inflammation of veins of the liver', 'splenomegaly', 'increases_risk_of'), ('blood clots', 'banti syndrome', 'increases_risk_of'), ('vascular obstruction of the liver', 'banti syndrome', 'increases_risk_of'), ('hepatic veins abnormalities', 'banti syndrome', 'increases_risk_of')}",
,,,anaphora,set(),"{('banti syndrome', '""it""', 'anaphora')}"
