doc_name,fp_prediction
Lichen-Sclerosus,"('anaphor ""it""', 'sign balanitis xerotica obliterans', 'produces')"
Carnosinemia,"('raredisease carnosinemia', 'sign motor delays', 'produces')"
Cleidocranial-Dysplasia,"('raredisease cleidocranial dysplasia', 'sign wide pelvic joints', 'produces')"
Empty-Sella-Syndrome,"('raredisease empty sella', 'sign empty sella', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('anaphor ""the disorder""', 'sign elevated levels of ghb in the plasma', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign distinctive facial appearance', 'produces')"
Meningitis-Tuberculous,"('raredisease miliary tuberculosis', 'raredisease tuberculous meningitis', 'is_synon')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality""', 'sign growth retardation', 'produces')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'sign fever', 'produces')"
Carnosinemia,"('anaphor ""this disorder""', 'sign myoclonic seizures', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign abnormalities present at birth', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('anaphor ""the disorder""', 'sign csf', 'produces')"
Arthritis-Infectious,"('raredisease rheumatoid arthritis', 'anaphor ""the disorder""', 'anaphora')"
Mikulicz-Syndrome,"('disease tuberculosis', 'anaphor ""the disorder""', 'anaphora')"
Dup15q-Syndrome,"('raredisease dup15q', 'anaphor ""it""', 'anaphora')"
Acanthosis-Nigricans,"('skinraredisease acanthosis nigricans', 'anaphor ""the disorder""', 'anaphora')"
Alpers-Disease,"('raredisease alpers disease', 'sign muscle twitching', 'produces')"
Buerger_s-Disease,"('anaphor ""it"" and symptom extreme pain of the lower arms', 'legs', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('raredisease hme', 'anaphor ""these diseases""', 'anaphora')"
AP,"('raredisease ap-4-hsp', 'sign developmental delay / intellectual disability', 'produces')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign muscular contractions', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign nephrotic syndrome', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'anaphor ""this condition""', 'anaphora')"
Buerger_s-Disease,"(""raredisease buerger's disease"", 'sign necrosis', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('anaphor ""it""', 'sign bone marrow lesions', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('raredisease primary central nervous system lymphoma', 'anaphor ""it""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign paralysis', 'produces')"
Mandibuloacral-Dysplasia,"('raredisease mandibuloacral dysplasia type b', 'raredisease mandibuloacral dysplasia', 'is_acron')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign heart murmurs', 'produces')"
Mixed-Cryoglobulinemia,"('anaphor ""the disorder""', 'sign cryoglobulins', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'disease chromosomal disorders', 'is_a')"
Carnosinemia,"('anaphor ""this disorder""', 'sign extreme drowsiness', 'produces')"
Buerger_s-Disease,"('anaphor ""it"" and sign occlusion of the veins', 'arteries of the extremities', 'produces')"
Alagille-Syndrome,"('anaphor ""the disorder""', 'sign severe itching', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease ddd', 'raredisease complement-mediated renal diseases', 'is_acron')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('anaphor ""the disorder""', 'sign reduced or converted to 4-hydroxybutyric acid', 'produces')"
Mikulicz-Syndrome,"('disease leukemia', 'sign enlargement of the submaxillary', 'produces')"
Fibrous-Dysplasia,"('raredisease fd', 'raredisease fibrous dysplasia', 'is_a')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign postnatal growth retardation', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign muscle weakness', 'produces')"
Epidermolytic-Ichthyosis,"('skinraredisease ei', 'sign infants with gradual decrease in blistering', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'anaphor ""the disease""', 'anaphora')"
Acanthosis-Nigricans,"('skinraredisease acanthosis nigricans', 'sign hyperpigmentation', 'produces')"
Cystic-Fibrosis,"('raredisease cftr a', 'sign positive family history', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'disease neural tube defects', 'increases_risk_of')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign after exposure to light', 'produces')"
Dejerine,"('raredisease dss', 'anaphor ""it""', 'anaphora')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign blood clots', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign flat nasal bridge with a prominent nasal tip', 'produces')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome', 'sign abnormal enlargement of lacrimal glands', 'produces')"
Cleidocranial-Dysplasia,"('raredisease cleidocranial dysplasia', 'sign clinodactyly', 'produces')"
Meige-Syndrome,"('raredisease meige syndrome', 'sign involuntary contractions of the muscles around the eyes', 'produces')"
Monilethrix,"('skinraredisease monilethrix and sign sparse, dry,', '/ or brittle hair', 'produces')"
Multifocal-Motor-Neuropathy,"('raredisease multifocal motor neuropathy', 'sign specific autoantibodies that target a specific protein in the body', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign mild to moderate intellectual disabilities', 'produces')"
Schindler-disease,"('raredisease schindler disease', 'sign type iii form of schindler disease', 'anaphora')"
Primary-Lateral-Sclerosis,"('disease motor neuron diseases', 'sign tremor', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign pain', 'produces')"
Meningitis-Tuberculous,"('anaphor ""the infection""', 'raredisease meningitis', 'is_a')"
Carnosinemia,"('raredisease carnosinemia', 'sign delayed intellectual development', 'produces')"
Antiphospholipid-Syndrome,"('raredisease aps', 'sign recurrent pregnancy loss', 'produces')"
Pediatric-Crohns-Disease,"(""raredisease crohn's disease"", 'sign inflammatory bowel disease', 'produces')"
Retroperitoneal-Fibrosis,"('raredisease retroperitoneal fibrosis', 'sign obstruction of the ureters', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'anaphor ""the disorder""', 'anaphora')"
Glucose,"(""raredisease glucose-galactose malabsorption and sign small intestine's inability to absorb and absorb glucose"", 'galactose', 'produces')"
West-Syndrome,"('raredisease west syndrome', 'sign seizures', 'produces')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign thin upper lip', 'produces')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign overgrown gums', 'produces')"
Primary-Lateral-Sclerosis,"('raredisease pls', 'raredisease primary lateral sclerosis', 'is_acron')"
Townes-Brocks-Syndrome,"('raredisease townes-brocks syndrome', 'sign short third toe', 'produces')"
Schindler-disease,"('raredisease schindler disease', 'anaphor ""the disease""', 'anaphora')"
