doc_name,fp_prediction
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'stiffness of the muscles at the base of the brain', 'produces')"
Jejunal-Atresia,"('""the disorder""', '""the disorder""', 'anaphora')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'triphalangeal thumbs', 'produces')"
Laband-Syndrome,"('laband syndrome and abnormalities of the hands', 'feet', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'enlarged parotids', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3 glomerulopathy', 'complement-3 glomerulonephritis', 'is_acron')"
Chromosome-14-Ring,"('""the disorder""', 'episodes of uncontrolled electrical activity in the brain', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'growth retardation', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'pseudobulbar palsy', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('hypoplastic left heart syndrome', 'closely related heart defects', 'is_a')"
Banti_s-Syndrome,"('banti syndrome', 'congenital of such veins', 'produces')"
Acanthosis-Nigricans,"('cancer', 'acanthosis nigricans', 'increases_risk_of')"
Human-Monocytic-Ehrlichiosis-(HME),"('sennetsu fever', 'infectious disease', 'is_a')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'sella turcica', 'produces')"
Primary-Lateral-Sclerosis,"('pls', 'primary lateral sclerosis', 'is_acron')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'absence of breathing', 'produces')"
AP,"('ap-4-hsp', 'developmental delay', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'synophrys', 'produces')"
Arthritis-Infectious,"('tuberculosis', 'infectious arthritis', 'increases_risk_of')"
Chromosome-14-Ring,"('""the disorder"" and abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'inherited the condition', 'is_a')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', '""the disorder""', 'anaphora')"
Buerger_s-Disease,"(""buerger's disease"", '""the disorder""', 'anaphora')"
Berylliosis,"('berylliosis', 'metal poisoning', 'produces')"
