doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,set(),set()
,,,is_a,set(),set()
2,"{'increases_risk_of', 'produces', 'anaphora', 'is_acron'}",{'anaphora'},,,
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
3,"{'produces', 'anaphora', 'is_a'}",{'anaphora'},,,
,,,produces,set(),"{('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
,,,is_a,set(),"{('disease rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}",{'anaphora'},,,
,,,anaphora,"{('raredisease brain avms', 'anaphor ""they""', 'anaphora')}",
,,,produces,set(),"{('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign fistulas', 'produces')}"
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'is_synon', 'produces', 'anaphora', 'is_a'}","{'produces', 'anaphora', 'is_a'}",,,
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon'), ('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon')}"
,,,produces,"{('anaphor ""this disorder""', 'sign mild to moderate coarseness of facial features', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mucolipids accumulate', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('anaphor ""this disorder""', 'sign heart disease', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign mild mental retardation', 'produces'), ('anaphor ""this disorder""', 'sign clouding of the corneas of the eyes', 'produces'), ('anaphor ""this disorder""', 'sign easy fatigability', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mucopolysaccharides accumulate', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign clouding of the corneas of the eyes', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign heart disease', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign easy fatigability', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild to moderate coarseness of facial features', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign mild mental retardation', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces')}"
,,,anaphora,set(),set()
,,,is_a,set(),set()
8,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('anaphor ""these disorders""', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'produces', 'is_acron', 'is_a'}","{'produces', 'is_a'}",,,
