doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,set(),set()
,,,is_a,set(),set()
2,"{'produces', 'anaphora', 'is_acron', 'increases_risk_of'}","{'anaphora', 'increases_risk_of'}",,,
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
,,,increases_risk_of,"{('disease hepatitis c virus', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}","{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
3,"{'produces', 'is_a', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,is_a,set(),"{('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}","{'produces', 'is_a', 'is_acron'}",,,
,,,is_a,"{('raredisease brain avms', 'disease vascular lesion', 'is_a')}",
,,,produces,"{('raredisease brain avms', 'sign tangle of vessels of varying sizes', 'produces'), ('raredisease brain avms', 'sign no capillary bed', 'produces'), ('raredisease brain avms', 'sign one or more direct connections between the arterial and venous circulations', 'produces')}","{('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign fistulas', 'produces')}"
,,,is_acron,"{('raredisease avms', 'raredisease brain avms', 'is_acron')}","{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'is_synon', 'produces', 'is_a', 'anaphora'}","{'produces', 'is_a', 'anaphora'}",,,
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon'), ('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_synon')}"
,,,produces,"{('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces')}"
,,,is_a,set(),set()
,,,anaphora,set(),set()
8,"{'produces', 'anaphora'}",{'anaphora'},,,
,,,produces,set(),"{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'produces', 'is_a', 'is_acron'}","{'produces', 'is_a', 'is_acron'}",,,
,,,produces,"{('raredisease dense deposit disease', 'sign sausage-like deposits in the gbm', 'produces'), ('raredisease dense deposit disease', 'sign c3 in the renal glomeruli', 'produces'), ('raredisease c3g', 'sign dense deposits', 'produces')}","{('raredisease dense deposit disease', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('raredisease ddd', 'sign abundance of c3 in the renal glomeruli', 'produces'), ('raredisease dense deposit disease', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')}"
,,,is_a,"{('raredisease c3g', 'disease glomerular disease', 'is_a')}",set()
,,,is_acron,set(),"{('raredisease ddd', 'raredisease dense deposit disease', 'is_acron'), ('raredisease c3gn', 'raredisease c3 glomerulonephritis', 'is_acron')}"
11,{'produces'},"{'produces', 'anaphora'}",,,
,,,anaphora,"{('skinraredisease ttd', 'anaphor ""they""', 'anaphora')}",
