doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'produces', 'is_a'}","{'produces', 'is_a'}",,,
,,,produces,set(),set()
,,,is_a,set(),set()
2,"{'produces', 'is_acron', 'anaphora', 'increases_risk_of'}",{'anaphora'},,,
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
3,"{'produces', 'anaphora', 'is_a'}",{'anaphora'},,,
,,,produces,set(),"{('disease rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,anaphora,"{('raredisease tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
,,,is_a,set(),"{('disease rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'produces', 'is_acron'}",set(),,,
,,,produces,set(),"{('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign fistulas', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces')}"
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
6,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
7,"{'produces', 'anaphora', 'is_synon', 'is_a'}","{'produces', 'is_a', 'is_synon', 'anaphora'}",,,
,,,produces,"{('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces')}"
,,,anaphora,set(),set()
,,,is_synon,"{('raredisease mucolipidosis type ii', 'raredisease mucolipidosis type iii', 'is_synon')}","{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon')}"
,,,is_a,set(),set()
8,"{'produces', 'anaphora'}","{'produces', 'anaphora'}",,,
,,,produces,"{('raredisease gitelman syndrome', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'produces', 'is_acron', 'is_a'}","{'produces', 'is_acron', 'is_a'}",,,
,,,produces,"{('raredisease c3g', 'sign dense deposits', 'produces'), ('raredisease c3g', 'sign kidney deposits stain for the complement protein c3', 'produces')}","{('raredisease dense deposit disease', ""sign dense'sausage-like' deposits in the glomerular basement membrane"", 'produces'), ('raredisease ddd', 'sign abundance of c3 in the renal glomeruli', 'produces'), ('raredisease c3g', 'sign kidney deposits', 'produces'), ('raredisease dense deposit disease', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')}"
,,,is_acron,set(),set()
,,,is_a,"{('raredisease c3 glomerulopathy', 'disease glomerular disease', 'is_a'), ('raredisease c3 glomerulonephritis', 'disease glomerular disease', 'is_a')}",set()
11,{'produces'},{'produces'},,,
,,,produces,"{('skinraredisease ttd', 'sign teeth anomalies', 'produces'), ('skinraredisease ttd', 'sign bone anomalies', 'produces')}","{('skinraredisease ttd', 'sign hair shaft abnormalities', 'produces'), ('skinraredisease ttd', 'sign hair shafts tiger-tail pattern', 'produces'), ('skinraredisease ttd', 'sign abnormal patterns of myelination', 'produces'), ('skinraredisease ttd', 'sign bone and teeth anomalies', 'produces')}"
12,"{'produces', 'anaphora', 'is_a', 'increases_risk_of'}","{'produces', 'anaphora', 'is_a'}",,,
