doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'is_a', 'produces'}","{'is_a', 'produces'}",,,
,,,is_a,set(),set()
,,,produces,set(),set()
2,"{'anaphora', 'produces', 'increases_risk_of', 'is_acron'}",{'anaphora'},,,
,,,anaphora,"{('raredisease mixed cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}","{('disease cryoglobulinemia', 'anaphor ""the disorder""', 'anaphora')}"
,,,produces,set(),"{('disease hepatitis c', 'sign hepatitis', 'produces')}"
,,,increases_risk_of,set(),"{('disease hepatitis c', 'raredisease mixed cryoglobulinemia', 'increases_risk_of')}"
,,,is_acron,set(),"{('disease hcv', 'disease hepatitis c', 'is_acron')}"
3,"{'is_a', 'produces', 'anaphora'}",{'anaphora'},,,
,,,is_a,set(),"{('disease non-rhythmic tinnitus', 'disease tinnitus', 'is_a'), ('disease rhythmic tinnitus', 'disease tinnitus', 'is_a')}"
,,,produces,set(),"{('disease non-rhythmic tinnitus', 'symptom tinnitus', 'produces'), ('disease rhythmic tinnitus', 'symptom tinnitus', 'produces')}"
,,,anaphora,"{('raredisease rhythmic tinnitus', 'anaphor ""it""', 'anaphora'), ('raredisease tinnitus', 'anaphor ""it""', 'anaphora')}","{('disease tinnitus', 'anaphor ""it""', 'anaphora')}"
4,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
5,"{'is_acron', 'produces'}","{'is_a', 'produces', 'anaphora'}",,,
,,,is_a,"{('raredisease avm', 'disease vascular lesion', 'is_a')}",
,,,anaphora,"{('raredisease avms', 'anaphor ""they""', 'anaphora')}",
,,,is_acron,set(),"{('raredisease avm', 'raredisease arteriovenous malformation', 'is_acron')}"
,,,produces,"{('raredisease avm', 'sign lack of capillary bed', 'produces'), ('raredisease avm', 'sign neurological avm', 'produces'), ('raredisease avm', 'sign one or more direct connections between the arterial and venous circulations', 'produces'), ('raredisease avm', 'sign tangle of vessels of varying sizes', 'produces')}","{('raredisease arteriovenous malformation', 'raredisease avm', 'produces'), ('raredisease avm', 'sign high flow rates', 'produces'), ('raredisease avms', 'sign blood traveling through the abnormal fistulous connections to flow rapidly', 'produces'), ('raredisease arteriovenous malformation', 'sign lesion', 'produces'), ('raredisease avm', 'sign fistulas', 'produces'), ('raredisease avm', 'sign stroke', 'produces'), ('raredisease avm', 'sign low resistance of the direct a-v connections', 'produces'), ('raredisease avm', 'sign high flow rates in the vessels', 'produces'), ('raredisease avm', 'sign lower the pressure in the arteries', 'produces'), ('raredisease avms', 'sign lack of capillaries', 'produces'), ('raredisease avm', 'sign direct a-v connections', 'produces')}"
6,{'anaphora'},set(),,,
,,,anaphora,set(),"{('raredisease scan1', 'anaphor ""it""', 'anaphora')}"
7,"{'is_a', 'is_synon', 'produces', 'anaphora'}","{'is_a', 'is_synon', 'produces', 'anaphora'}",,,
,,,is_a,set(),set()
,,,is_synon,set(),"{('raredisease mucolipidosis type ii', 'raredisease i-cell disease', 'is_synon')}"
,,,produces,"{('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme upd-n-acetylglucosamine-1-phosphotransferase', 'produces'), ('anaphor ""this disorder""', 'sign deterioration of the hip joints', 'produces'), ('anaphor ""this disorder""', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucolipids', 'produces')}","{('raredisease pseudo-hurler polydystrophy', 'sign growth delays', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign elevated lysosomal enzyme activity in serum', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign accumulation of mucopolysaccharides and mucolipids', 'produces'), ('anaphor ""this disorder""', 'sign claw-hands', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign deterioration of the hip joints', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in fibroblasts', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign decreased enzyme levels in white blood cells', 'produces'), ('raredisease pseudo-hurler polydystrophy', 'sign defective upd-n-acetylglucosamine-1-phosphotransferase', 'produces')}"
,,,anaphora,set(),set()
8,"{'produces', 'anaphora'}","{'anaphora', 'produces'}",,,
,,,produces,"{('raredisease gitelman syndrome', 'sign salt wasting', 'produces')}","{('raredisease gitelman syndrome', 'sign lower blood pressures', 'produces')}"
,,,anaphora,"{('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')}",set()
9,{'anaphora'},{'anaphora'},,,
,,,anaphora,set(),set()
10,"{'is_a', 'is_acron', 'produces'}","{'is_a', 'is_acron', 'produces'}",,,
,,,is_a,"{('raredisease c3 glomerulonephritis', 'raredisease c3g', 'is_a'), ('raredisease ddd', 'raredisease c3g', 'is_a'), ('raredisease ddd', 'disease c3 glomerulopathy', 'is_a'), ('raredisease ddd', 'disease glomerular disease', 'is_a'), ('raredisease c3gn', 'raredisease c3g', 'is_a')}",set()
,,,is_acron,set(),"{('raredisease c3g', 'raredisease c3 glomerulopathy', 'is_acron'), ('raredisease c3gn', 'raredisease c3 glomerulonephritis', 'is_acron')}"
