doc_name,gold_rels,pred_rels,rel_type,fp_prediction,fn_prediction
1,"{'cpr:4', 'cpr:5', 'cpr:6', 'cpr:3'}",{'cpr:4'},,,
,,,cpr:4,"{('chemical hydroxyflutamide', 'gene androgen receptor', 'cpr:4'), ('chemical estramustine phosphate', 'gene ar', 'cpr:4'), ('chemical hydroxyflutamide', 'gene prostate-specific antigen', 'cpr:4'), ('chemical estramustine phosphate', 'gene androgen receptor', 'cpr:4'), ('chemical hydroxyflutamide', 'gene psa', 'cpr:4')}","{('chemical estramustine', 'gene ar', 'cpr:4'), ('chemical estramustine', 'gene androgen receptor', 'cpr:4'), ('chemical bicalutamide', 'gene ar', 'cpr:4')}"
,,,cpr:5,set(),"{('chemical hydroxyflutamide', 'gene ar', 'cpr:5')}"
,,,cpr:6,set(),"{('chemical androgen', 'gene ar', 'cpr:6'), ('chemical estramustine phosphate', 'gene androgen receptor', 'cpr:6'), ('chemical estramustine phosphate', 'gene ar', 'cpr:6'), ('chemical androgen', 'gene androgen receptor', 'cpr:6'), ('chemical emp', 'gene androgen receptor', 'cpr:6')}"
,,,cpr:3,set(),"{('chemical hydroxyflutamide', 'gene psa', 'cpr:3')}"
2,{'cpr:4'},{'cpr:4'},,,
,,,cpr:4,"{('chemical edrophonium', 'gene ser200', 'cpr:4')}","{('chemical edrophonium', 'gene torpedo californica ache', 'cpr:4')}"
3,set(),set(),,,
4,"{'cpr:4', 'cpr:9'}",{'cpr:4'},,,
,,,cpr:4,"{('chemical sc-236', 'gene cyclooxygenase 2', 'cpr:4')}",set()
,,,cpr:9,set(),"{('chemical prostaglandins', 'gene cox-2', 'cpr:9'), ('chemical prostaglandin', 'gene cyclooxygenase 2', 'cpr:9'), ('chemical prostaglandins', 'gene cox-1', 'cpr:9')}"
5,"{'cpr:4', 'cpr:9', 'cpr:3'}","{'cpr:4', 'cpr:9', 'cpr:3'}",,,
,,,cpr:4,"{('chemical fluticasone propionate', 'gene leukotriene c4', 'cpr:4'), ('chemical fp', 'gene leukotriene c4', 'cpr:4')}","{('chemical fp', 'gene phospholipase a2', 'cpr:4')}"
,,,cpr:9,"{('chemical ltc4', 'gene cpla2', 'cpr:9')}",set()
,,,cpr:3,set(),set()
6,{'cpr:4'},{'cpr:4'},,,
,,,cpr:4,set(),"{('chemical desipramine', 'gene norepinephrine transporter', 'cpr:4'), ('chemical desipramine', 'gene norepinephrine re-uptake transporter', 'cpr:4')}"
7,{'cpr:4'},{'cpr:4'},,,
,,,cpr:4,"{('chemical cisapride', 'gene ikr', 'cpr:4'), ('chemical cisapride', 'gene potassium channel', 'cpr:4')}","{('chemical cisapride', 'gene human ether-a-go-go-related gene (herg) potassium channel', 'cpr:4')}"
8,"{'cpr:6', 'cpr:5'}","{'cpr:6', 'cpr:5'}",,,
,,,cpr:6,"{('chemical clozapine', 'gene alpha 1', 'cpr:6'), ('chemical ziprasidone', 'gene alpha 1', 'cpr:6'), ('chemical olanzapine', 'gene alpha 1', 'cpr:6'), ('chemical way-100,635', 'gene alpha 1', 'cpr:6')}",set()
,,,cpr:5,"{('chemical olanzapine', 'gene 5-ht1a', 'cpr:5'), ('chemical clozapine', 'gene 5-ht1a', 'cpr:5')}",set()
9,{'cpr:4'},{'cpr:4'},,,
,,,cpr:4,"{('chemical befloxatone', 'gene mao', 'cpr:4')}",set()
10,{'cpr:4'},"{'cpr:4', 'cpr:9'}",,,
